DATE,CPIAUCSL
2015-06-01,237.657
2015-07-01,238.034
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.827
2016-02-01,237.514
2016-03-01,237.990
2016-04-01,238.835
2016-05-01,239.440
2016-06-01,240.144
2016-07-01,240.111
2016-08-01,240.595
2016-09-01,241.068
2016-10-01,241.641
2016-11-01,241.993
2016-12-01,242.712
2017-01-01,243.717
2017-02-01,244.028
2017-03-01,243.721
2017-04-01,244.058
2017-05-01,243.926
2017-06-01,244.179
2017-07-01,244.328
2017-08-01,245.304
2017-09-01,246.445
2017-10-01,246.570
2017-11-01,247.333
2017-12-01,247.847
2018-01-01,248.816
2018-02-01,249.475
2018-03-01,249.413
2018-04-01,249.957
2018-05-01,250.640
2018-06-01,251.176
2018-07-01,251.482
2018-08-01,251.905
2018-09-01,252.261
2018-10-01,252.777
2018-11-01,252.662
2018-12-01,252.653
2019-01-01,252.550
2019-02-01,253.181
2019-03-01,254.095
2019-04-01,254.943
2019-05-01,255.167
2019-06-01,255.402
2019-07-01,256.087
2019-08-01,256.294
2019-09-01,256.593
2019-10-01,257.229
2019-11-01,257.824
2019-12-01,258.444
2020-01-01,258.820
2020-02-01,259.050
2020-03-01,257.953
2020-04-01,255.902
2020-05-01,255.768
2020-06-01,257.214
2020-07-01,258.723
2020-08-01,259.681
